GENE_NAMES,ADAM_CORE_FITNESS
CDC27,TRUE
CKAP5,TRUE
ERH,TRUE
FAM86B1,TRUE
NARS,TRUE
POLR2A,TRUE
POLR2B,TRUE
POLR2F,TRUE
PRPF38A,TRUE
PSMB3,TRUE
PSMC6,TRUE
RAN,TRUE
RPA1,TRUE
RPL11,TRUE
RPL13,TRUE
RPL14,TRUE
RPL15,TRUE
RPL18A,TRUE
RPL3,TRUE
RPS11,TRUE
RPS15,TRUE
RPS19,TRUE
RPS23,TRUE
RPS5,TRUE
RPS7,TRUE
RRM1,TRUE
SF3B3,TRUE
SF3B5,TRUE
SMU1,TRUE
SNRPA1,TRUE
SNRPD3,TRUE
SNRPE,TRUE
SRSF3,TRUE
THOC2,TRUE
UBL5,TRUE
CDC16,TRUE
CDC7,TRUE
CDK1,TRUE
CHEK1,TRUE
CSE1L,TRUE
EFTUD2,TRUE
EIF4A3,TRUE
GINS1,TRUE
HIST1H2BB,TRUE
HNRNPK,TRUE
KIF11,TRUE
LSM5,TRUE
PLK1,TRUE
POLR2C,TRUE
POLR2L,TRUE
PSMA2,TRUE
PSMC3,TRUE
PUF60,TRUE
RPL10A,TRUE
RPL12,TRUE
RPL21,TRUE
RPL27A,TRUE
RPL31,TRUE
RPL32,TRUE
RPL36,TRUE
RPL37A,TRUE
RPL6,TRUE
RPL8,TRUE
RPS12,TRUE
RPS28,TRUE
RPS3,TRUE
RPS6,TRUE
RPS8,TRUE
RRM2,TRUE
SF3B14,TRUE
SNRPD2,TRUE
SPC25,TRUE
TWISTNB,TRUE
VCP,TRUE
XAB2,TRUE
CCT8,TRUE
CDC20,TRUE
CLP1,TRUE
COPB2,TRUE
CPSF3L,TRUE
CTDP1,TRUE
EIF3B,TRUE
GTF2B,TRUE
GTPBP4,TRUE
HIST1H2BF,TRUE
IGBP1,TRUE
POLD1,TRUE
PRPF19,TRUE
PSMA6,TRUE
PSMD6,TRUE
RBMX,TRUE
RPA3,TRUE
RPL17,TRUE
RPL23,TRUE
RPL34,TRUE
RPL5,TRUE
SNRPD1,TRUE
SNRPG,TRUE
TICRR,TRUE
TXNL4A,TRUE
UBE2I,TRUE
USP39,TRUE
BCL2L2-PABPN1,TRUE
CDC123,TRUE
COPA,TRUE
DDX56,TRUE
HIST1H2BH,TRUE
KAT8,TRUE
LSM4,TRUE
LSM7,TRUE
MAD2L1,TRUE
MED11,TRUE
NHP2L1,TRUE
NUP160,TRUE
PHB,TRUE
POLR2D,TRUE
PSMB4,TRUE
RGPD6,TRUE
RPL19,TRUE
RPL30,TRUE
RPS18,TRUE
RPS20,TRUE
RPS21,TRUE
RPS27A,TRUE
SF1,TRUE
SF3A3,TRUE
SNRPF,TRUE
SRP19,TRUE
U2AF1,TRUE
AQR,TRUE
BIRC5,TRUE
CDC5L,TRUE
CDT1,TRUE
CPSF3,TRUE
DYNC1I2,TRUE
EEF2,TRUE
EIF2B4,TRUE
HIST1H2AJ,TRUE
LARS,TRUE
MED28,TRUE
NSF,TRUE
NUDT21,TRUE
NUTF2,TRUE
PSMA7,TRUE
PSMB2,TRUE
RPS13,TRUE
RPS14,TRUE
RPS15A,TRUE
RPS9,TRUE
SLMO2,TRUE
SRSF7,TRUE
WDR33,TRUE
ANAPC1,TRUE
AURKB,TRUE
CCT3,TRUE
CDC45,TRUE
DARS,TRUE
DHDDS,TRUE
EIF3I,TRUE
HIST1H2BC,TRUE
MED6,TRUE
NCBP2,TRUE
NIFK,TRUE
NPIPA5,TRUE
ORC6,TRUE
PHB2,TRUE
PRELID1,TRUE
PSMB7,TRUE
RANGAP1,TRUE
RPLP1,TRUE
SARS,TRUE
SPC24,TRUE
UBA52,TRUE
ANKLE2,TRUE
CCNK,TRUE
CCT6A,TRUE
DDX47,TRUE
DUT,TRUE
EIF2B2,TRUE
KARS,TRUE
NARFL,TRUE
PAFAH1B1,TRUE
SF3A1,TRUE
SF3A2,TRUE
SPDL1,TRUE
TARS,TRUE
CARS,TRUE
COPS5,TRUE
DHX15,TRUE
EIF3A,TRUE
KIF23,TRUE
LSM2,TRUE
LSM3,TRUE
MAK16,TRUE
MED31,TRUE
POLR2H,TRUE
POLR3B,TRUE
PRPF8,TRUE
RPA2,TRUE
RPAP1,TRUE
RPL18,TRUE
RPL27,TRUE
RRN3,TRUE
RUVBL2,TRUE
SRSF1,TRUE
SRSF2,TRUE
SSU72,TRUE
SUPT16H,TRUE
YARS,TRUE
BRF2,TRUE
CRNKL1,TRUE
DDB1,TRUE
EIF3F,TRUE
INTS9,TRUE
MCM2,TRUE
NEDD8,TRUE
NUF2,TRUE
PCNA,TRUE
PPIL2,TRUE
MAK16,TRUE
PSMA5,TRUE
PSMD12,TRUE
RBX1,TRUE
RPL7,TRUE
RPSA,TRUE
SDE2,TRUE
SMC4,TRUE
SNW1,TRUE
TUBA1C,TRUE
WDR43,TRUE
XRCC6,TRUE
CCDC94,TRUE
CCT7,TRUE
CHAF1B,TRUE
EIF1AX,TRUE
EIF2S1,TRUE
KPNB1,TRUE
POLR3A,TRUE
RPLP0,TRUE
SRP54,TRUE
TOP2A,TRUE
CDC73,TRUE
COPB1,TRUE
COPZ1,TRUE
CWC22,TRUE
MTBP,TRUE
POLR2E,TRUE
PSMA3,TRUE
QARS,TRUE
RBBP6,TRUE
RPL13A,TRUE
RPL26,TRUE
RPS4X,TRUE
TSR2,TRUE
U2AF2,TRUE
ABCE1,TRUE
ATP6V0D1,TRUE
CDK9,TRUE
CHMP2A,TRUE
COPS2,TRUE
DDX18,TRUE
DHX16,TRUE
DYNC1H1,TRUE
GINS2,TRUE
GNL3,TRUE
HNRNPL,TRUE
MFAP1,TRUE
NCBP1,TRUE
RPS24,TRUE
UFD1L,TRUE
WDR70,TRUE
CENPM,TRUE
EIF3D,TRUE
EPRS,TRUE
GARS,TRUE
LUC7L3,TRUE
MDN1,TRUE
NAPA,TRUE
POLR2G,TRUE
PSMD14,TRUE
PSMD3,TRUE
RPL4,TRUE
RPL7L1,TRUE
SLU7,TRUE
TOPBP1,TRUE
UBB,TRUE
VARS,TRUE
DTL,TRUE
FARSB,TRUE
GNB2L1,TRUE
GPN1,TRUE
MCM3AP,TRUE
NEDD1,TRUE
NSA2,TRUE
NUP133,TRUE
RPL35,TRUE
RPL38,TRUE
SDAD1,TRUE
SNRNP200,TRUE
SUPT6H,TRUE
TRAPPC3,TRUE
TUT1,TRUE
UPF2,TRUE
CDC23,TRUE
DDX10,TRUE
PAM16,TRUE
RPS16,TRUE
RTFDC1,TRUE
TRAPPC8,TRUE
ANAPC4,TRUE
ATP6V0C,TRUE
EIF2B3,TRUE
ESPL1,TRUE
FBXO5,TRUE
PSMC4,TRUE
RPF2,TRUE
RPL35A,TRUE
WBSCR22,TRUE
CENPN,TRUE
DDX54,TRUE
HCFC1,TRUE
HEATR1,TRUE
LCE1E,TRUE
PHAX,TRUE
POLR3F,TRUE
UBTF,TRUE
YBX1,TRUE
ALG11,TRUE
CPSF2,TRUE
EIF2S3,TRUE
INTS4,TRUE
MARS,TRUE
