Gene,Score,Bucket
SEC61A1,74.108,9
CREBBP,73.75,4
KRAS,71.296,4
HDAC1,69.528,1
HMGCS1,68.226,8
MAT2A,68.053,4
MET,67.692,1
ANAPC10,67.23,10
CCND1,67.192,7
IRF4,66.125,9
TPX2,65.742,4
CCND2,65.594,7
NUP85,65.417,10
MYCN,65.058,9
ERBB2,64.688,1
PPP2CA,64.332,4
PFDN5,63.968,9
SOX10,63.938,9
WRN,63.773,4
EGFR,63.605,1
EIF4A1,63.341,5
ALDOA,63.055,4
TBCD,62.633,6
UBE2C,62.464,5
LONP1,62.459,5
RAE1,62.159,4
SEH1L,61.832,10
NUDC,61.366,10
SNRNP25,61.147,5
TYMS,60.867,1
TUBGCP6,60.552,5
ATP5A1,60,4
TUBB4B,59.888,1
PIK3CA,59.776,1
EIF4G1,59.77,4
DNM2,59.596,5
CTNNB1,59.469,4
TBCB,59.329,9
CDH1,59,4
KLF4,58.833,9
TRIM37,58.783,9
MCL1,58.632,3
CEBPA,58.5,9
EXOSC9,58.396,5
CCNE1,58.347,4
STAG1,58.327,9
ESR1,58.25,1
RPP25L,58.228,10
POU2AF1,58,9
CDC37,57.926,5
TIMM17A,57.779,10
GRB2,57.742,4
FLI1,57.654,9
MDM4,57.589,4
NCAPD2,57.519,9
ATP6V1G1,57.441,5
MAF,57.375,9
MYB,57.375,9
NRAS,57.222,4
NUP93,57.131,9
MYBL2,57.086,9
FGFR2,57.056,1
SLC16A1,56.941,4
FERMT2,56.746,4
ENO1,56.708,4
POP1,56.676,5
RBBP8,56.652,9
STX4,56.614,4
LEMD2,56.598,10
ATP5D,56.569,10
EXOSC2,56.5,10
HJURP,56.305,9
SMARCB1,56.294,9
PCYT1A,56.293,6
SOCS3,56.281,9
SF3B1,56.239,4
IGF1R,55.979,2
PPIL4,55.921,10
JUP,55.917,5
PRPS1,55.917,5
HNRNPH1,55.787,10
NKX2-1,55.75,9
AKT1,55.719,2
CTR9,55.719,10
FPGS,55.701,7
CLTC,55.619,4
CDC26,55.546,10
TIMM13,55.514,10
SPDEF,55.5,9
SBDS,55.269,9
SH3GL1,55.188,9
POLRMT,55.186,6
HAUS5,55.131,10
SHC1,55.063,5
TAF1,55.059,4
SREBF1,54.944,9
NXT1,54.922,9
FNTA,54.917,4
GGPS1,54.914,4
FOXA1,54.875,9
TPR,54.702,10
GTF2F1,54.692,10
CDK6,54.647,1
PRMT5,54.641,4
NONO,54.625,9
LTV1,54.591,10
TBP,54.474,9
ASCL1,54.458,9
RRS1,54.437,9
ALG1,54.384,9
EWSR1,54.347,4
ELAC2,54.323,10
TRA2B,54.149,9
DIEXF,54.147,10
UBE2L3,54.122,5
MYC,54.078,4
SMAD7,53.972,5
HYPK,53.947,9
SARS2,53.724,9
TAF10,53.704,10
SLC35B1,53.581,9
CHCHD4,53.576,10
JUN,53.515,7
BMS1,53.509,9
PFAS,53.484,5
SHOC2,53.267,10
VRK1,53.224,4
CEP192,53.224,10
LRR1,53.209,8
PCF11,53.196,10
TRAF6,53.167,5
FAU,53.139,9
WDR26,53.05,10
ADSL,53,4
BSG,53,2
CASC3,53,4
CDH11,53,5
FGFR1,53,1
ISL1,53,9
PDGFRA,53,1
RAD54L2,53,10
TSC1,53,5
UBE2Z,53,9
ZFP36L1,53,9
NPAT,52.984,9
GEMIN4,52.947,5
CRKL,52.942,5
NFE2L2,52.913,5
ASPM,52.875,9
GOSR2,52.843,10
CMPK1,52.77,5
TIMELESS,52.745,9
PMPCA,52.729,5
CENPE,52.692,4
RPL28,52.673,5
GATA3,52.636,9
