,0
0,ATF4
1,WDHD1
2,DYNLRB1
3,WDR25
4,DLST
5,STRAP
6,SMC3
7,TRAPPC3
8,CPSF3
9,MRPL28
10,XRCC6
11,COPS8
12,NUBP2
13,CCT2
14,SF3B6
15,DTL
16,GABPA
17,ABCF1
18,PSMD14
19,MVD
20,BCL2L2-PABPN1
21,MST1
22,GRPEL1
23,EBNA1BP2
24,RPS26
25,RPP38
26,COG3
27,CKAP5
28,SF3A2
29,FTSJ3
30,MAK16
31,SNW1
32,DDX56
33,LSM5
34,HIST1H2BB
35,CHCHD1
36,SPATA31A6
37,PRPF8
38,NAT10
39,INTS7
40,UQCRC1
41,RRP12
42,KIF18A
43,NUTF2
44,RPL35
45,UTP3
46,UPF2
47,OR4F21
48,GMPS
49,TAF1B
50,COX15
51,PSMB4
52,PHB
53,WDR12
54,DNAJC17
55,FBL
56,MRPS34
57,SRSF1
58,SPCS2
59,COX10
60,PABPN1
61,INTS5
62,ISCU
63,LSM11
64,ELP3
65,RPTOR
66,RBM28
67,HEATR1
68,THG1L
69,SEC61G
70,RGPD6
71,NELFA
72,TUBGCP3
73,NSF
74,SRSF2
75,POLRMT
76,DHX33
77,NCAPH2
78,ELP5
79,RAN
80,HIST1H2AM
81,SNAPC5
82,HIST1H2BE
83,TFIP11
84,PDCD2
85,SYMPK
86,PFDN2
87,NBPF11
88,SMG1
89,HMGCS1
90,PELP1
91,PPP1R8
92,PAFAH1B1
93,HIST2H2AA3
94,SSU72
95,HNRNPL
96,EXOSC7
97,NUP43
98,SEC13
99,NCBP2
100,KRTAP4-11
101,FARSB
102,SNAPC1
103,MED31
104,SNRNP27
105,COPS4
106,ATP5PO
107,JAZF1
108,PRPF19
109,RPS20
110,MDN1
111,CHEK1
112,ILF2
113,RBBP4
114,WDR70
115,COPE
116,SF1
117,COPB2
118,SAMM50
119,CBWD1
120,WDR75
121,UTP20
122,PSMC6
123,CPSF2
124,HAMP
125,KTI12
126,CCT6A
127,NOC3L
128,RPS23
129,TFAM
130,HYPK
131,NACA
132,DCTN6
133,PCID2
134,TAF7
135,OSTC
136,SSBP3
137,TNPO3
138,PSMD8
139,GTF3C1
140,CTR9
141,CCDC84
142,TMEM199
143,HNRNPK
144,PSMC3
145,DCTN3
