	X
A2M	Surface
A4GALT	Surface
AAK1	Kinase
AARS	Surface
AATF	TF
AATK	Kinase
ABCA1	Surface
ABCA2	Surface
ABCA5	Surface
ABCA7	Surface
ABCA8	Surface
ABCB1	Surface
ABCC1	Surface
ABCC2	Surface
ABCC4	Surface
ABCC5	Surface
ABI3BP	Surface
ABL1	Kinase
ABL2	Kinase
ACAA1	Surface
ACAM	Surface
ACCN2	Surface
ACE	Surface
ACHE	Surface
ACP2	Surface
ACTB	Surface
ACTN1	Surface
ACTN4	Surface
ACVR1	Surface
ACVR1B	Kinase
ACVR1C	Kinase
ACVR2A	Surface
ACVR2B	Surface
ACVRL1	Kinase
ADAM10	Surface
ADAM12	Surface
ADAM15	Surface
ADAM17	Surface
ADAM19	Surface
ADAM22	Surface
ADAM8	Surface
ADAM9	Surface
ADAMTS15	Surface
ADAMTSL4	Surface
ADCK1	Kinase
ADCK2	Kinase
ADCK5	Kinase
ADCY3	Surface
ADCY6	Surface
ADCY7	Surface
ADCY9	Surface
ADORA1	Surface
ADRA2A	Surface
ADRA2C	Surface
ADRB2	Surface
AEBP1	Surface
AER61	Surface
AES	TF
AGPS	Surface
AGRN	Surface
AGTR1	Surface
AGTR2	Surface
AHR	TF
AHSG	Surface
AIP	TF
AIRE	TF
AKAP11	Surface
AKT1	Kinase
AKT2	Kinase
AKT3	Kinase
ALCAM	Surface
ALK	Kinase
ALPK1	Kinase
ALPK2	Kinase
ALPK3	Kinase
ALPL	Surface
ALPP	Surface
AMBP	Surface
AMHR2	Kinase
AMICA1	Surface
AMIGO1	Surface
AMIGO2	Surface
ANGPT1	Surface
ANGPTL1	Surface
ANGPTL2	Surface
ANGPTL4	Surface
ANKK1	Kinase
ANKRD1	TF
ANO5	Surface
ANO6	Surface
ANO9	Surface
ANPEP	Surface
ANTXR1	Surface
AOC3	Surface
APBB1	TF
APC	TF
APCDD1	Surface
APEX1	TF
APLF	Surface
APLNR	Surface
APLP1	Surface
APLP2	Surface
APMAP	Surface
APOB	Surface
APOD	Surface
APOH	Surface
AQP1	Surface
AR	TF
ARAF	Kinase
AREG	Surface
ARID1A	TF
ARID1B	TF
ARID3A	TF
ARNT	TF
ARNTL	TF
ARNTL2	TF
ARSB	Surface
ARSE	Surface
ARSF	Surface
ARX	TF
ASAH1	Surface
ASCL1	TF
ASH1L	TF
ASPH	Surface
ASPN	Surface
ASXL1	TF
ATF1	TF
ATF2	TF
ATF3	TF
ATF4	TF
ATF5	TF
ATF6	TF
ATF6B	Surface
ATF7	TF
ATG9A	Surface
ATL1	Surface
ATM	Kinase
ATOH1	TF
ATP1A1	Surface
ATP1A3	Surface
ATP1B1	Surface
ATP1B2	Surface
ATP1B3	Surface
ATP6AP1	Surface
ATP6V0A1	Surface
ATP6V0A2	Surface
ATR	Kinase
ATRN	Surface
ATRX	Surface
AURKA	Kinase
AURKB	Kinase
AURKC	Kinase
AXL	Surface
Apr-03	Surface
B3GALTL	Surface
B3GNT1	Surface
B3GNT2	Surface
B4GALT3	Surface
B4GALT5	Surface
BACE1	Surface
BACH1	TF
BACH2	TF
BARD1	TF
BARX2	TF
BAT2L2	Surface
BATF	TF
BCAM	Surface
BCAN	Surface
BCHE	Surface
BCKDK	Kinase
BCL11A	TF
BCL3	TF
BCL6	TF
BDNF	Surface
BDP1	TF
BGN	Surface
