hgnc_id	entrez_id	ensembl_gene_id	location_sortable	symbol	name	gene_family	pubmed_id
HGNC:5	1	ENSG00000121410	19q13.43	A1BG	alpha-1-B glycoprotein	Immunoglobulin like domain containing	2591067
HGNC:24086	29974	ENSG00000148584	10q11.23	A1CF	APOBEC1 complementation factor	RNA binding motif containing	11815617|11072063
HGNC:7	2	ENSG00000175899	12p13.31	A2M	alpha-2-macroglobulin	"C3 and PZP like, alpha-2-macroglobulin domain containing"	2408344|9697696
HGNC:23336	144568	ENSG00000166535	12p13.31	A2ML1	alpha-2-macroglobulin like 1	"C3 and PZP like, alpha-2-macroglobulin domain containing"	16298998
HGNC:30005	127550	ENSG00000184389	01p35.1	A3GALT2	"alpha 1,3-galactosyltransferase 2"	Glycosyltransferase family 6	10854427|18630988
HGNC:18149	53947	ENSG00000128274	22q13.2	A4GALT	"alpha 1,4-galactosyltransferase"	"Alpha 1,4-glycosyltransferases"	10854428
HGNC:17968	51146	ENSG00000118017	03q22.3	A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"	"Alpha 1,4-glycosyltransferases"	10430883
HGNC:13666	8086	ENSG00000094914	12q13.13	AAAS	aladin WD repeat nucleoporin	WD repeat domain containing|Nucleoporins	11062474
HGNC:21298	65985	ENSG00000081760	12q24.31	AACS	acetoacetyl-CoA synthetase	Acyl-CoA synthetase family	12623130|17762044
HGNC:17	13	ENSG00000114771	03q25.1	AADAC	arylacetamide deacetylase	Lipases|Arylacetamide deacetylase family	8063807
HGNC:24427	344752	ENSG00000197953	03q25.1	AADACL2	arylacetamide deacetylase like 2	Arylacetamide deacetylase family	25715734
HGNC:32037	126767	ENSG00000188984	01p36.21	AADACL3	arylacetamide deacetylase like 3	Arylacetamide deacetylase family	
HGNC:32038	343066	ENSG00000204518	01p36.21	AADACL4	arylacetamide deacetylase like 4	Arylacetamide deacetylase family	
HGNC:17929	51166	ENSG00000109576	04q33	AADAT	aminoadipate aminotransferase		12126930|10441733|18056995
HGNC:16881	195827	ENSG00000158122	09q22.33	AAED1	AhpC/TSA antioxidant enzyme domain containing 1		
HGNC:25662	79719	ENSG00000103591	15q23	AAGAB	alpha- and gamma-adaptin binding protein		11230166|10477754
HGNC:19679	22848	ENSG00000115977	02p13.3	AAK1	AP2 associated kinase 1		11877461|12471243
HGNC:30205	28971	ENSG00000087884	11q14.1	AAMDC	adipogenesis associated Mth938 domain containing		22279136
HGNC:18	14	ENSG00000127837	02q35	AAMP	angio associated migratory cell protein	WD repeat domain containing	7743515
HGNC:19	15	ENSG00000129673	17q25.1	AANAT	aralkylamine N-acetyltransferase	GCN5 related N-acetyltransferases	8661026
HGNC:15886	25980	ENSG00000131043	20q11.23	AAR2	AAR2 splicing factor homolog		26527271
HGNC:33842	441376	ENSG00000205002	08q24.11	AARD	alanine and arginine rich domain containing protein		
HGNC:20	16	ENSG00000090861	16q22.1	AARS	alanyl-tRNA synthetase	"Aminoacyl tRNA synthetases, Class II"	8595897
HGNC:21022	57505	ENSG00000124608	06p21.1	AARS2	"alanyl-tRNA synthetase 2, mitochondrial"	"Aminoacyl tRNA synthetases, Class II"	15779907|21549344
HGNC:28417	80755	ENSG00000266967	17q21.31	AARSD1	alanyl-tRNA synthetase domain containing 1		
HGNC:23993	132949	ENSG00000157426	04q12	AASDH	aminoadipate-semialdehyde dehydrogenase	Acyl-CoA synthetase family	15865210|12712191|17762044
HGNC:14235	60496	ENSG00000149313	11q22.3	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase		12815048|11286508|18022563
HGNC:17366	10157	ENSG00000008311	07q31.32	AASS	aminoadipate-semialdehyde synthase		10775527
HGNC:19235	26574	ENSG00000275700	17q12	AATF	apoptosis antagonizing transcription factor		11027528|10783144
HGNC:21	9625	ENSG00000181409	17q25.3	AATK	apoptosis associated tyrosine kinase	Receptor Tyrosine Kinases|Protein phosphatase 1 regulatory subunits	9734811|10083745|22573681
HGNC:23	18	ENSG00000183044	16p13.2	ABAT	4-aminobutyrate aminotransferase		7721088
HGNC:29	19	ENSG00000165029	09q31.1	ABCA1	ATP binding cassette subfamily A member 1	ATP binding cassette subfamily A	8088782|10431236|10431237|10431238
HGNC:32	20	ENSG00000107331	09q34.3	ABCA2	ATP binding cassette subfamily A member 2	ATP binding cassette subfamily A	8088782
HGNC:33	21	ENSG00000167972	16p13.3	ABCA3	ATP binding cassette subfamily A member 3	ATP binding cassette subfamily A	8706931
HGNC:34	24	ENSG00000198691	01p22.1	ABCA4	ATP binding cassette subfamily A member 4	ATP binding cassette subfamily A	9490294
HGNC:35	23461	ENSG00000154265	17q24.3	ABCA5	ATP binding cassette subfamily A member 5	ATP binding cassette subfamily A	8894702
HGNC:36	23460	ENSG00000154262	17q24.2-q24.3	ABCA6	ATP binding cassette subfamily A member 6	ATP binding cassette subfamily A	8894702
HGNC:37	10347	ENSG00000064687	19p13.3	ABCA7	ATP binding cassette subfamily A member 7	ATP binding cassette subfamily A	
HGNC:38	10351	ENSG00000141338	17q24.2	ABCA8	ATP binding cassette subfamily A member 8	ATP binding cassette subfamily A	
HGNC:39	10350	ENSG00000154258	17q24.2	ABCA9	ATP binding cassette subfamily A member 9	ATP binding cassette subfamily A	
HGNC:30	10349	ENSG00000154263	17q24.3	ABCA10	ATP binding cassette subfamily A member 10	ATP binding cassette subfamily A	12821155|11435397
HGNC:14637	26154	ENSG00000144452	02q35	ABCA12	ATP binding cassette subfamily A member 12	ATP binding cassette subfamily A	11435397|12915478|8845852|10094194
HGNC:14638	154664	ENSG00000179869	07p12.3	ABCA13	ATP binding cassette subfamily A member 13	ATP binding cassette subfamily A	12697998
HGNC:40	5243	ENSG00000085563	07q21.12	ABCB1	ATP binding cassette subfamily B member 1	CD molecules|ATP binding cassette subfamily B	3027054
HGNC:45	5244	ENSG00000005471	07q21.12	ABCB4	ATP binding cassette subfamily B member 4	ATP binding cassette subfamily B	2892668|11313316
HGNC:46	340273	ENSG00000004846	07p21.1	ABCB5	ATP binding cassette subfamily B member 5	ATP binding cassette subfamily B	8894702|12960149
HGNC:47	10058	ENSG00000115657	02q35	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Blood group antigens|ATP binding cassette subfamily B	8894702|9110174
HGNC:48	22	ENSG00000131269	Xq13.3	ABCB7	ATP binding cassette subfamily B member 7	ATP binding cassette subfamily B	9143506
HGNC:49	11194	ENSG00000197150	07q36.1	ABCB8	ATP binding cassette subfamily B member 8	ATP binding cassette subfamily B	8894702
HGNC:50	23457	ENSG00000150967	12q24.31	ABCB9	ATP binding cassette subfamily B member 9	ATP binding cassette subfamily B	8894702
HGNC:41	23456	ENSG00000135776	01q42.13	ABCB10	ATP binding cassette subfamily B member 10	ATP binding cassette subfamily B	7766993
HGNC:42	8647	ENSG00000073734	02q31.1	ABCB11	ATP binding cassette subfamily B member 11	ATP binding cassette subfamily B	9806540
HGNC:51	4363	ENSG00000103222	16p13.11	ABCC1	ATP binding cassette subfamily C member 1	ATP binding cassette subfamily C	8098549|1360704
HGNC:53	1244	ENSG00000023839	10q24.2	ABCC2	ATP binding cassette subfamily C member 2	ATP binding cassette subfamily C	8797578|9284939
HGNC:54	8714	ENSG00000108846	17q21.33	ABCC3	ATP binding cassette subfamily C member 3	ATP binding cassette subfamily C	8894702|9827529
HGNC:55	10257	ENSG00000125257	13q32.1	ABCC4	ATP binding cassette subfamily C member 4	ATP binding cassette subfamily C	8894702|9661885
HGNC:56	10057	ENSG00000114770	03q27.1	ABCC5	ATP binding cassette subfamily C member 5	ATP binding cassette subfamily C	8894702|9827529
HGNC:57	368	ENSG00000091262	16p13.11	ABCC6	ATP binding cassette subfamily C member 6	ATP binding cassette subfamily C	9721217|11439001
HGNC:59	6833	ENSG00000006071	11p15.1	ABCC8	ATP binding cassette subfamily C member 8	ATP binding cassette subfamily C	7920639|7716548
HGNC:60	10060	ENSG00000069431	12p12.1	ABCC9	ATP binding cassette subfamily C member 9	ATP binding cassette subfamily C	9457174|15034580
HGNC:52	89845	ENSG00000124574	06p21.1	ABCC10	ATP binding cassette subfamily C member 10	ATP binding cassette subfamily C	8894702
